snapshot_date,total_downloads,maps,mods,cumulative_total,cumulative_maps,cumulative_mods
2026_03_11,2774,2350,424,2774,2350,424
2026_03_12,297,222,75,3071,2572,499
2026_03_13,355,240,115,3426,2812,614
2026_03_14,237,155,82,3663,2967,696
2026_03_15,350,240,110,4013,3207,806
2026_03_16,164,62,102,4177,3269,908
2026_03_17,171,28,143,4348,3297,1051
2026_03_18,341,239,102,4689,3536,1153
2026_03_19,169,73,96,4858,3609,1249
2026_03_20,262,99,163,5120,3708,1412
2026_03_21,303,135,168,5423,3843,1580
2026_03_22,182,42,140,5605,3885,1720
2026_03_23,261,107,154,5866,3992,1874
2026_03_24,93,16,77,5959,4008,1951
2026_03_25,275,84,191,6234,4092,2142
2026_03_26,398,183,215,6632,4275,2357
2026_03_27,748,374,374,7380,4649,2731
2026_03_28,640,305,335,8020,4954,3066
2026_03_29,485,135,350,8505,5089,3416
2026_03_30,5159,4043,1116,13664,9132,4532
2026_03_31,726,204,522,14390,9336,5054
